specObjID,ra,dec,redshift,z_err,distance,g,r,w1_mag,w2_mag
457269600040544256,36.617875,1.1605321,0.005120771,7.686421E-06,7.40000000024263E-05,14.05974,13.55499,11.16139,11.1208
457272074059147264,36.617875,1.1605321,0.005130642,7.335483E-06,7.40000000024263E-05,14.05974,13.55499,11.16139,11.1208
457273723729242112,36.617875,1.1605321,0.005131146,7.189414E-06,7.40000000024263E-05,14.05974,13.55499,11.16139,11.1208
457274279155755008,36.617875,1.1605321,0.005140219,5.30941E-06,7.40000000024263E-05,14.05974,13.55499,11.16139,11.1208
457274272092547072,36.617875,1.1605321,0.00513761,7.188116E-06,7.40000000024263E-05,14.05974,13.55499,11.16139,11.1208
792790801573767168,36.617852,1.1605471,0.005127621,6.938173E-06,0.00160807175819998,14.05974,13.55499,11.16139,11.1208
2968032751619434496,36.617888,1.1605034,0.005126412,7.095652E-06,0.00195800062098479,14.05974,13.55499,11.16139,11.1208
1205937250827790336,36.830478,1.02556,0.01459476,5.880474E-06,15.107776867515,19.14852,18.78835,16.43593,16.31645
1207134344146085888,36.830478,1.0255595,0.01459308,5.605221E-06,15.1077929496683,19.14852,18.78835,16.43593,16.31645
755489044984522752,36.886162,-0.23611575,0.004589992,8.040497E-05,85.3308501057197,17.06913,16.69524,13.67368,-9999
1697975306410813440,35.354485,0.481671,0.009108003,3.103126E-05,86.0463988573204,18.77815,18.3464,15.94062,15.63881
2965678972572035072,35.62566,-0.61702641,0.005141121,1.824405E-05,122.14249574797,15.29825,14.77897,12.99786,12.27905
457184936772790272,35.625385,-0.61739013,0.00514606,1.641952E-05,122.169592924259,15.29825,14.77897,12.99786,12.27905
457184943835998208,35.625385,-0.61739013,0.005147002,2.061716E-05,122.169592924259,15.29825,14.77897,12.99786,12.27905
457185213043206144,35.625385,-0.61739013,0.005151981,1.997656E-05,122.169592924259,15.29825,14.77897,12.99786,12.27905
457185212523112448,35.625385,-0.61739013,0.005160293,1.873891E-05,122.169592924259,15.29825,14.77897,12.99786,12.27905
457185212640552960,35.625385,-0.61739013,0.005137017,1.522419E-05,122.169592924259,15.29825,14.77897,12.99786,12.27905
456156893384042496,34.533794,0.75835439,0.009191,8.024974E-06,127.334443861844,17.03652,16.68097,14.50151,14.87796
1756490221987325952,38.385784,-0.07598,0.01447768,1.003394E-05,129.439708315489,19.32905,18.93678,16.8322,17.39614
458289671131129856,37.8843,-0.72761124,0.008896649,3.344113E-06,136.40936549132,17.08734,16.88643,15.03901,15.46047
1699064097766664192,36.916588,-1.153628,0.004527065,1.653569E-05,140.001485734374,12.96768,12.37359,12.3935,12.20087
457193465051113472,35.328934,-0.79862457,0.004503134,1.042023E-05,140.70595045906,17.88348,17.38541,15.28598,15.24507
457196757512644608,35.328934,-0.79862457,0.004540044,8.657084E-06,140.70595045906,17.88348,17.38541,15.28598,15.24507
457197856034416640,35.328934,-0.79862457,0.004550524,7.157721E-06,140.70595045906,17.88348,17.38541,15.28598,15.24507
457195108127762432,35.328934,-0.79862457,0.004519311,6.575633E-06,140.70595045906,17.88348,17.38541,15.28598,15.24507
457195658403670016,35.328934,-0.79862457,0.004537761,7.4163E-06,140.70595045906,17.88348,17.38541,15.28598,15.24507
793825991687432192,37.116183,-1.1514587,0.005324455,1.314998E-05,141.904558016133,13.22372,12.75313,10.07054,10.10166
459473570293114880,39.004034,0.42021007,0.008702516,2.33296E-05,149.888004215948,15.15601,14.60395,11.90423,11.78078
458415015456696320,39.004034,0.42021007,0.00872279,2.145436E-05,149.888004215948,15.15601,14.60395,11.90423,11.78078
1205842417949894656,39.17348,-0.018333,0.003793943,4.275226E-06,168.854576334037,17.25593,17.09719,15.17819,16.13478
1204840212262316032,39.70072,0.52027,0.004874968,1.478623E-05,188.897366660591,16.76511,16.3753,-9999,-9999
1700174330471671808,39.440984,-0.390887,0.008857897,1.66846E-05,193.27082110094,19.35378,19.11575,17.15328,-9999
459488963455903744,39.862177,1.2721635,0.008994201,1.432184E-05,194.729435838376,16.70622,16.25455,13.91051,13.91558
459448556403582976,39.119862,-0.97496223,0.00829593,5.496613E-06,197.35840700294,17.89615,17.72441,15.77082,15.69818
1700244149460035584,39.873778,0.47314,0.008972875,2.025695E-05,199.639860933679,19.02744,18.58226,16.4492,16.3113
459510953688459264,40.271476,0.93144154,0.008960938,8.978324E-06,219.609963990957,16.07038,15.55477,12.96905,12.93608
456082676349167616,32.638163,0.73809987,0.01165467,8.550967E-06,240.091007145051,15.62608,15.1118,12.44712,12.37775
4768413246083586048,32.594117,1.200866,0.01186749,1.087177E-05,241.386325459421,17.52723,17.14122,15.01547,14.84394
794917806717036544,40.663243,0.00604379,0.003790569,5.629818E-05,252.39681479136,13.68178,13.20283,13.76001,13.16648
796121221824538624,40.663243,0.00604379,0.003832948,3.829459E-05,252.39681479136,13.68178,13.20283,13.76001,13.16648
1701331290810247168,40.667412,-0.011667,0.004194915,1.396095E-05,252.931011745862,16.91361,16.98208,-9999,-9999
1204732735000700928,40.6661,-0.01629,0.004207654,1.021596E-05,252.932758351789,16.32579,15.9963,10.01007,8.470562
1208170633955928064,32.688661,-0.802423,0.01122365,6.469688E-06,263.524064915407,18.83074,18.65899,16.79019,16.41017
796114074998958080,41.084916,0.67473374,0.00926607,6.603789E-06,269.56776321902,17.22356,16.87457,13.84856,13.72203
459539540990781440,41.087969,0.67541054,0.009250369,5.558915E-06,269.745438097165,16.18629,15.81416,13.30129,13.39911
1203641194815449088,41.584533,-0.234389,0.009187676,5.241453E-06,309.513179435903,18.2162,17.94549,15.764,14.75566
460554940817893376,41.626522,-0.24208687,0.009714987,5.323688E-06,312.06358483697,18.5755,18.76826,14.06136,13.58678
1203640645059635200,41.64141,-0.24716,0.009140697,1.018834E-05,313.005861520057,13.00957,12.21297,12.26927,12.21738
460558239352776704,41.60488,-0.49868928,0.005081682,6.828084E-06,315.332224763925,11.82223,11.27494,11.39631,11.01828
796050303324547072,41.930198,-0.38329923,0.00878337,5.266035E-06,331.910041063981,18.13162,17.78188,15.40563,14.95749
1701373896885823488,42.210917,0.632728,0.009691848,2.392193E-05,337.031325741233,19.21095,18.87222,16.9243,-9999
4794275409339635712,40.841056,4.9679501,0.01378406,1.607636E-05,340.86174308743,19.71778,19.51564,11.55445,11.46013
8806865605510846464,42.220298,-0.34509634,0.00901565,9.779654E-06,348.055169199981,19.84142,20.3117,17.5737,15.23452
460532400829523968,42.219416,-0.35106701,0.008870747,4.147369E-05,348.097278468692,16.75778,16.69419,14.11805,15.68434
461706678325241856,42.716717,0.0033920192,0.005296954,8.230726E-06,372.433992298956,17.89894,17.54502,15.46546,14.96259
461704205447489536,42.716717,0.0033920192,0.005292953,1.02403E-05,372.433992298956,17.89894,17.54502,15.46546,14.96259
1702452794163750912,42.717486,0.004835,0.005249758,4.467545E-06,372.463161445951,19.44019,19.17171,16.95272,21.61555
1702457204071753728,42.717486,0.004835,0.005269419,5.925087E-06,372.463161445951,19.44019,19.17171,16.95272,21.61555
1701396711752099840,42.717505,0.004851,0.005273103,4.290408E-06,372.464102373843,19.44019,19.17171,16.95272,21.61555
4063522934391855104,30.118684,1.0630024,2.204913E-05,8.299206E-06,389.921839091876,17.43836,16.69508,13.45957,13.30302
1873661321963137024,43.0214,0.04105,0.0005252404,4.399662E-05,390.011802100324,19.21604,18.70961,17.04107,17.81019
461728393679890432,43.070022,0.29478727,0.005257628,4.653244E-06,390.56360803337,17.47394,17.11572,14.79743,14.61268
460656920521369600,43.070022,0.29478727,0.005246135,5.228663E-06,390.56360803337,17.47394,17.11572,14.79743,14.61268
461727844947486720,43.070022,0.29478727,0.005237813,5.156623E-06,390.56360803337,17.47394,17.11572,14.79743,14.61268
1757695556827768832,43.252537,0.62571299,0.01488154,1.715355E-05,399.321280592476,19.5782,19.21838,17.02485,15.9151
1702444547826542592,42.962091,-1.180395,0.004940118,3.972405E-06,405.714572580164,19.33907,19.08431,16.37793,15.52951
1702437962618267648,42.962091,-1.180395,0.004919253,3.609946E-06,405.714572580164,19.33907,19.08431,16.37793,15.52951
797205615133878272,42.969568,-1.1728235,0.005051057,6.41396E-06,405.978730364387,15.36053,14.91347,12.97073,12.48179
1702442085786871808,42.979997,-1.163927,0.005128069,6.594443E-06,406.382791409297,18.67918,18.42338,16.07084,17.8533
1702444822704449536,42.979997,-1.163927,0.005125384,6.549377E-06,406.382791409297,18.67918,18.42338,16.07084,17.8533
7170958040933619712,35.398741,-5.5071639,0.007407127,5.494128E-06,406.677211512461,15.73207,15.70484,12.01587,12.15987
1702478919426402304,43.519582,0.414063,0.01478962,6.451478E-06,416.475637646691,19.42935,19.05555,16.66384,16.00947
1702471485861423104,43.519582,0.414063,0.0147991,5.638688E-06,416.475637646691,19.42935,19.05555,16.66384,16.00947
1202514470677538816,43.52206,0.006667,0.01431492,7.641122E-06,419.968348462662,19.13403,18.87997,17.25294,16.0393
1702470661227702272,43.620591,0.597346,0.01487145,7.496193E-06,421.468558626517,19.904,19.8539,17.6972,17.1148
1702477545036867584,43.620591,0.597346,0.01485712,6.310608E-06,421.468558626517,19.904,19.8539,17.6972,17.1148
1702475883907934208,43.589278,0.125013,0.008969801,8.611123E-06,422.841734915822,19.45287,19.14133,16.80732,17.61278
1702479744060123136,43.589278,0.125013,0.00895156,7.537953E-06,422.841734915822,19.45287,19.14133,16.80732,17.61278
1702490189420587008,43.729733,0.10887,0.01411167,5.547873E-06,431.3198179617,18.63029,18.44854,16.50138,15.75593
1702487153902118912,43.729733,0.10887,0.01411287,6.867753E-06,431.3198179617,18.63029,18.44854,16.50138,15.75593
461663248639354880,43.731445,0.11104887,0.01423336,6.640011E-06,431.402259256391,17.1123,16.71969,14.28869,14.18814
461667645662455808,43.731445,0.11104887,0.01423592,6.331529E-06,431.402259256391,17.1123,16.71969,14.28869,14.18814
1210397424644810752,29.539122,-0.110334,0.01207241,3.743826E-06,431.48960906964,17.78199,17.88444,16.31681,15.84725
461678092046329856,43.52351,-0.87676324,0.003246829,9.097125E-06,431.971055053076,17.11456,16.91306,15.09315,15.07452
461676441755478016,43.52351,-0.87676324,0.003253964,9.80937E-06,431.971055053076,17.11456,16.91306,15.09315,15.07452
461679465412454400,43.608848,-0.6896386,0.01478385,4.009899E-06,433.878271601182,17.35057,17.24624,15.08913,14.80971
461678641802143744,43.608848,-0.6896386,0.01478622,5.190875E-06,433.878271601182,17.35057,17.24624,15.08913,14.80971
1758790670744578048,43.972099,0.53630602,0.01358486,2.239674E-05,442.789676858608,18.81404,18.31701,16.33786,13.75601
461754233226553344,43.988596,0.69261652,0.01386253,6.903594E-06,443.074490294936,14.68034,13.52405,9.027349,8.629368
461751208546166784,43.988596,0.69261652,0.01384096,7.517257E-06,443.074490294936,14.68034,13.52405,9.027349,8.629368
1202598583317063680,44.105531,0.574785,0.01342574,5.407004E-06,450.578549389805,18.74118,18.4389,16.37622,16.31705
1702498435757795328,44.118038,0.607731,0.009178776,6.101385E-06,451.175209540182,18.06556,17.79064,15.71958,15.32308
1702493201216071680,44.118038,0.607731,0.009181818,6.036887E-06,451.175209540182,18.06556,17.79064,15.71958,15.32308
461760554395002880,44.118473,0.60786063,0.009197618,5.761009E-06,451.200656993111,18.06556,17.79064,15.71958,15.32308
461761654930040832,44.118473,0.60786063,0.00918867,4.609863E-06,451.200656993111,18.06556,17.79064,15.71958,15.32308
2613324521838503936,32.883001,7.801084,0.0001982586,6.549455E-05,456.73053324877,19.79062,19.27645,17.8267,18.26834
453865786952411136,29.044036,0.25446367,0.01479543,6.27378E-06,457.63146722466,16.69314,16.33391,14.05914,13.99487
1693357082629138432,29.178232,-0.766195,0.01482687,7.431453E-06,461.08232059003,19.11015,18.67114,16.19051,16.30438
1694541806424844288,29.056853,-0.44597,0.01210501,1.255432E-05,463.765200359618,18.89457,18.48272,16.35977,16.45662
453798991621023744,28.998978,-0.18556728,0.01213528,6.594777E-06,464.187156771238,16.98981,16.6571,14.18758,14.15152
1202500177026377728,44.17767,-0.52578,0.008684324,8.505654E-06,464.712569402116,18.34148,17.92248,15.65165,16.18554
1211628327593338880,28.624121,1.191842,0.01482498,1.580945E-05,479.527692722828,17.94699,17.57151,15.42382,15.2642
903070994615265280,44.810556,0.56687033,0.009187104,8.462438E-06,492.791727411193,17.86911,17.77994,15.50937,15.54223
461780346627713024,44.810563,0.56646783,0.009199915,1.050386E-05,492.793915473564,17.86911,17.77994,15.50937,15.54223
461783369261279232,44.810563,0.56646783,0.009192776,1.104926E-05,492.793915473564,17.86911,17.77994,15.50937,15.54223
1759891280021710848,44.990139,0.26262999,0.005477409,6.870797E-06,505.172810644311,19.42771,19.07609,17.01395,17.19524
512396639827159040,38.886208,-7.1544248,0.005097995,1.868314E-05,517.04793657651,13.14228,12.51711,9.847583,9.944049
462816636957648896,45.167449,0.020416102,0.009487057,1.579866E-05,517.48005904964,15.55396,15.09749,12.40004,12.30956
462819109231421440,45.167449,0.020416102,0.009483084,1.570243E-05,517.48005904964,15.55396,15.09749,12.40004,12.30956
462817735781410816,45.167449,0.020416102,0.009493992,1.834829E-05,517.48005904964,15.55396,15.09749,12.40004,12.30956
461793814621743104,45.299589,0.30291753,0.009303932,8.856855E-06,523.391038208623,17.75951,17.25878,14.73612,14.70109
461791891499804672,45.299589,0.30291753,0.009270805,7.659623E-06,523.391038208623,17.75951,17.25878,14.73612,14.70109
462813887490713600,45.263599,-0.74329304,0.008819458,6.075206E-06,531.144810921421,15.79239,15.45275,13.00724,13.12485
462815535818631168,45.263599,-0.74329304,0.008809686,5.991706E-06,531.144810921421,15.79239,15.45275,13.00724,13.12485
462814712812300288,45.263599,-0.74329304,0.008815581,6.9243E-06,531.144810921421,15.79239,15.45275,13.00724,13.12485
1693483251588425728,27.63882,0.312449,0.01221374,5.797971E-06,541.091745010732,19.58564,19.4121,17.92371,17.32646
1201391319583320064,45.454275,-0.88261,0.007318183,3.789958E-06,544.142979660648,18.48907,18.42019,16.20458,15.83385
903044331458291712,45.412824,-1.1970309,0.008871548,6.527443E-06,546.291057545611,19.64664,19.29889,16.76437,16.50682
903036634876897280,45.542933,-0.6847095,0.01368859,6.510542E-06,546.80155586013,18.57497,18.16631,16.0243,16.32429
798299354828924928,45.543011,-0.68487225,0.01368288,6.881931E-06,546.808115037363,18.57497,18.16631,16.0243,16.32429
513499999762409472,40.334254,-7.2849824,0.005565504,5.416919E-06,553.41217017686,17.0743,16.76986,14.64746,14.79398
462811962405840896,45.547476,-1.1665568,0.01360661,8.549197E-06,553.635044328973,18.27228,17.76814,15.31329,15.27484
462812788666951680,45.547476,-1.1665568,0.01359679,1.152151E-05,553.635044328973,18.27228,17.76814,15.31329,15.27484
462815811636062208,45.547476,-1.1665568,0.01359812,1.174878E-05,553.635044328973,18.27228,17.76814,15.31329,15.27484
513503848053106688,40.372441,-7.3460899,0.004310396,1.481049E-05,557.684744537539,16.95444,16.48945,14.08722,14.13387
462801243794860032,45.749137,-1.0818215,0.01351278,3.980536E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462804815580260352,45.749137,-1.0818215,0.01351655,6.383257E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462804816519784448,45.749137,-1.0818215,0.01363698,5.522067E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462805091397691392,45.921632,-1.0735545,0.01395331,9.527368E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
462800144283232256,45.921632,-1.0735545,0.01396853,7.833265E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
462802891434911744,45.921632,-1.0735545,0.01396411,9.721572E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
513503573175199744,40.69534,-7.5420834,0.004460077,4.843282E-06,576.367231655183,17.03354,16.79466,14.70701,14.7897
462804540702353408,45.954639,-1.1037323,0.01362531,7.529356E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462800693351180288,45.954639,-1.1037323,0.01364263,7.130711E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462801793550673920,45.954639,-1.1037323,0.01363066,6.686462E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462904047444191232,46.241535,0.95391523,0.0121192,4.179661E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
462902673742522368,46.241535,0.95391523,0.01212922,3.632906E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
462903771626760192,46.241535,0.95391523,0.01211142,4.361566E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
1703521256432756736,46.001593,-1.145219,0.01285946,1.891026E-05,579.734041937719,19.37252,18.74257,16.43658,16.78932
462788597783750656,46.144794,-0.47523169,0.005611976,4.423989E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
798291933125437440,46.144794,-0.47523169,0.00561428,4.673663E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
462786124822112256,46.144794,-0.47523169,0.005608499,4.903908E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
462786400387885056,46.144794,-0.47523169,0.005667516,9.309032E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
799471983946393600,46.144794,-0.47523169,0.005603237,5.286508E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
798276265084741632,46.052118,-1.1927121,0.01285595,7.192389E-06,583.359793362497,14.75642,14.07566,10.81892,10.72285
751101443112462336,32.45546,-7.7823972,0.01258164,5.879423E-06,591.566109189185,15.90729,15.41329,12.45126,12.27578
512456838088779776,40.458098,-7.9250243,0.004474693,8.794566E-05,591.577446314728,15.32285,14.83306,12.48303,12.53869
903004199283877888,46.192288,-1.202276,0.01442065,2.091308E-05,591.659760420265,18.92915,18.46228,16.02559,16.0456
751085500193859584,32.244491,-7.7667808,0.01286314,6.496168E-06,596.150425540763,13.48697,12.69888,9.710565,9.756075
513507971221710848,40.136815,-8.1476838,0.004741414,1.362135E-05,596.848918060184,14.10086,13.52882,10.8505,10.81261
751087974095022080,32.2708,-7.7936327,0.01257224,2.134918E-05,596.908440770693,17.81074,17.41968,15.01211,15.11705
903130917998979072,46.576332,0.44482816,0.01211159,1.013384E-05,598.986035791995,19.25672,18.81524,16.80308,16.88352
913214270634747904,46.576332,0.444828,0.01212263,1.338539E-05,598.986036490188,19.25672,18.81524,16.80308,16.88352
751089898240370688,32.26408,-7.8472772,0.01252852,1.025479E-05,599.977047889867,16.99603,16.42241,13.86166,13.7414
751086874583394304,32.217964,-7.8464691,0.01326738,3.308985E-05,601.136789322992,16.42358,15.93395,13.44534,13.45591
751090722874091520,32.181584,-7.8304201,0.01349064,6.098387E-06,601.230558860117,15.96162,15.50307,12.61545,12.54227
751150371379898368,33.921564,-8.5080687,0.004621041,3.894884E-05,602.110392256431,19.97143,19.44838,16.94444,16.0879
